timestamp,asset_id,asset_type,building,campus,age_years,temperature_c,humidity_pct,vibration_g,power_kw,usage_hours,failure_within_30d
2025-09-08 14:11:05.869960,A001,Pump,Building-1,Main,8.49,21.81,43.4,0.337,6.28,9.12,0
2025-09-08 14:21:05.869960,A001,Pump,Building-1,Main,8.49,22.69,40.6,0.344,5.83,9.12,0
2025-09-08 14:31:05.869960,A001,Pump,Building-1,Main,8.49,21.78,42.3,0.36,6.9,9.12,0
2025-09-08 14:41:05.869960,A001,Pump,Building-1,Main,8.49,22.55,42.08,0.293,6.45,9.12,0
2025-09-08 14:51:05.869960,A001,Pump,Building-1,Main,8.49,22.53,43.71,0.348,5.93,9.12,0
2025-09-08 15:01:05.869960,A001,Pump,Building-1,Main,8.49,23.08,42.53,0.317,7.12,9.12,0
2025-09-08 15:11:05.869960,A001,Pump,Building-1,Main,8.49,23.59,44.11,0.312,6.66,9.12,0
2025-09-08 15:21:05.869960,A001,Pump,Building-1,Main,8.49,23.38,44.42,0.323,6.72,9.12,0
2025-09-08 15:31:05.869960,A001,Pump,Building-1,Main,8.49,22.79,42.5,0.362,7.49,9.12,0
2025-09-08 15:41:05.869960,A001,Pump,Building-1,Main,8.49,23.44,44.95,0.348,6.49,9.12,1
2025-09-08 15:51:05.869960,A001,Pump,Building-1,Main,8.49,23.77,45.72,0.336,7.6,9.12,1
2025-09-08 16:01:05.869960,A001,Pump,Building-1,Main,8.49,22.39,45.24,0.34,6.66,9.12,1
2025-09-08 16:11:05.869960,A001,Pump,Building-1,Main,8.49,23.84,42.65,0.331,6.99,9.12,1
2025-09-08 16:21:05.869960,A001,Pump,Building-1,Main,8.49,24.62,44.33,0.313,6.56,9.12,0
2025-09-08 16:31:05.869960,A001,Pump,Building-1,Main,8.49,24.41,45.38,0.322,7.07,9.12,0
2025-09-08 16:41:05.869960,A001,Pump,Building-1,Main,8.49,24.06,46.22,0.317,6.65,9.12,1
2025-09-08 16:51:05.869960,A001,Pump,Building-1,Main,8.49,23.86,43.97,0.346,6.94,9.12,1
2025-09-08 17:01:05.869960,A001,Pump,Building-1,Main,8.49,24.09,45.36,0.295,6.6,9.12,0
2025-09-08 17:11:05.869960,A001,Pump,Building-1,Main,8.49,23.93,44.95,0.333,7.02,9.12,0
2025-09-08 17:21:05.869960,A001,Pump,Building-1,Main,8.49,25.05,46.07,0.345,6.78,9.12,0
2025-09-08 17:31:05.869960,A001,Pump,Building-1,Main,8.49,23.14,46.0,0.339,8.05,9.12,0
2025-09-08 17:41:05.869960,A001,Pump,Building-1,Main,8.49,23.98,46.45,0.337,6.23,9.12,0
2025-09-08 17:51:05.869960,A001,Pump,Building-1,Main,8.49,24.61,47.0,0.361,6.36,9.12,0
2025-09-08 18:01:05.869960,A001,Pump,Building-1,Main,8.49,24.69,44.93,0.355,7.91,9.12,0
2025-09-08 18:11:05.869960,A001,Pump,Building-1,Main,8.49,23.43,45.84,0.341,6.56,9.12,0
2025-09-08 18:21:05.869960,A001,Pump,Building-1,Main,8.49,23.08,46.53,0.306,7.05,9.12,0
2025-09-08 18:31:05.869960,A001,Pump,Building-1,Main,8.49,23.31,48.06,0.314,6.65,9.12,0
2025-09-08 18:41:05.869960,A001,Pump,Building-1,Main,8.49,24.07,45.3,0.344,7.47,9.12,0
2025-09-08 18:51:05.869960,A001,Pump,Building-1,Main,8.49,22.75,46.73,0.345,7.2,9.12,1
2025-09-08 19:01:05.869960,A001,Pump,Building-1,Main,8.49,22.82,45.22,0.353,6.96,9.12,0
2025-09-08 19:11:05.869960,A001,Pump,Building-1,Main,8.49,23.43,46.87,0.317,6.93,9.12,0
2025-09-08 19:21:05.869960,A001,Pump,Building-1,Main,8.49,23.32,45.78,0.394,7.05,9.12,0
2025-09-08 19:31:05.869960,A001,Pump,Building-1,Main,8.49,22.43,47.1,0.308,7.21,9.12,1
2025-09-08 19:41:05.869960,A001,Pump,Building-1,Main,8.49,23.45,45.56,0.366,7.02,9.12,0
2025-09-08 19:51:05.869960,A001,Pump,Building-1,Main,8.49,23.13,48.19,0.33,6.44,9.12,0
2025-09-08 20:01:05.869960,A001,Pump,Building-1,Main,8.49,22.11,45.39,0.335,6.98,9.12,0
2025-09-08 20:11:05.869960,A001,Pump,Building-1,Main,8.49,22.53,46.92,0.338,7.54,9.12,0
2025-09-08 20:21:05.869960,A001,Pump,Building-1,Main,8.49,22.1,48.69,0.356,6.38,9.12,0
2025-09-08 20:31:05.869960,A001,Pump,Building-1,Main,8.49,21.53,46.32,0.331,7.17,9.12,0
2025-09-08 20:41:05.869960,A001,Pump,Building-1,Main,8.49,22.13,45.61,0.312,6.06,9.12,0
2025-09-08 20:51:05.869960,A001,Pump,Building-1,Main,8.49,21.51,46.38,0.344,6.19,9.12,0
2025-09-08 21:01:05.869960,A001,Pump,Building-1,Main,8.49,21.65,45.73,0.311,6.89,9.12,0
2025-09-08 21:11:05.869960,A001,Pump,Building-1,Main,8.49,21.44,44.02,0.348,7.09,9.12,0
2025-09-08 21:21:05.869960,A001,Pump,Building-1,Main,8.49,21.8,46.02,0.296,6.34,9.12,0
2025-09-08 21:31:05.869960,A001,Pump,Building-1,Main,8.49,21.37,45.27,0.353,8.74,9.12,0
2025-09-08 21:41:05.869960,A001,Pump,Building-1,Main,8.49,21.25,45.67,0.366,7.14,9.12,1
2025-09-08 21:51:05.869960,A001,Pump,Building-1,Main,8.49,20.68,45.07,0.314,6.7,9.12,0
2025-09-08 22:01:05.869960,A001,Pump,Building-1,Main,8.49,20.47,44.16,0.407,5.88,9.12,1
2025-09-08 22:11:05.869960,A001,Pump,Building-1,Main,8.49,20.94,42.22,0.323,7.36,9.12,0
2025-09-08 22:21:05.869960,A001,Pump,Building-1,Main,8.49,20.53,42.51,0.316,7.15,9.12,0
2025-09-08 22:31:05.869960,A001,Pump,Building-1,Main,8.49,20.04,43.54,0.339,6.49,9.12,0
2025-09-08 22:41:05.869960,A001,Pump,Building-1,Main,8.49,21.39,43.7,0.277,6.91,9.12,0
2025-09-08 22:51:05.869960,A001,Pump,Building-1,Main,8.49,19.92,43.65,0.314,6.76,9.12,0
2025-09-08 23:01:05.869960,A001,Pump,Building-1,Main,8.49,20.45,43.39,0.302,6.65,9.12,0
2025-09-08 23:11:05.869960,A001,Pump,Building-1,Main,8.49,19.92,41.6,0.391,7.02,9.12,0
2025-09-08 23:21:05.869960,A001,Pump,Building-1,Main,8.49,19.5,42.89,0.401,7.33,9.12,0
2025-09-08 23:31:05.869960,A001,Pump,Building-1,Main,8.49,19.35,41.22,0.376,6.46,9.12,0
2025-09-08 23:41:05.869960,A001,Pump,Building-1,Main,8.49,20.33,42.2,0.31,6.78,9.12,1
2025-09-08 23:51:05.869960,A001,Pump,Building-1,Main,8.49,18.5,40.12,0.33,6.19,9.12,0
2025-09-09 00:01:05.869960,A001,Pump,Building-1,Main,8.49,20.97,39.44,0.324,6.88,9.12,0
2025-09-09 00:11:05.869960,A001,Pump,Building-1,Main,8.49,20.91,39.16,0.372,6.82,9.12,0
2025-09-09 00:21:05.869960,A001,Pump,Building-1,Main,8.49,19.76,40.79,0.344,6.51,9.12,0
2025-09-09 00:31:05.869960,A001,Pump,Building-1,Main,8.49,20.35,39.67,0.341,7.14,9.12,1
2025-09-09 00:41:05.869960,A001,Pump,Building-1,Main,8.49,21.19,38.56,0.402,5.84,9.12,0
2025-09-09 00:51:05.869960,A001,Pump,Building-1,Main,8.49,20.41,40.12,0.346,6.5,9.12,0
2025-09-09 01:01:05.869960,A001,Pump,Building-1,Main,8.49,20.48,38.79,0.32,7.24,9.12,0
2025-09-09 01:11:05.869960,A001,Pump,Building-1,Main,8.49,20.88,38.35,0.365,6.97,9.12,0
2025-09-09 01:21:05.869960,A001,Pump,Building-1,Main,8.49,21.23,39.43,0.313,6.53,9.12,0
2025-09-09 01:31:05.869960,A001,Pump,Building-1,Main,8.49,21.33,39.19,0.337,6.87,9.12,0
2025-09-09 01:41:05.869960,A001,Pump,Building-1,Main,8.49,21.73,37.77,0.354,6.71,9.12,0
2025-09-09 01:51:05.869960,A001,Pump,Building-1,Main,8.49,21.13,39.25,0.362,7.22,9.12,1
2025-09-09 02:01:05.869960,A001,Pump,Building-1,Main,8.49,22.05,37.97,0.358,6.66,9.12,0
2025-09-09 02:11:05.869960,A001,Pump,Building-1,Main,8.49,21.71,37.63,0.34,7.11,9.12,0
2025-09-09 02:21:05.869960,A001,Pump,Building-1,Main,8.49,21.3,39.68,0.307,6.21,9.12,1
2025-09-09 02:31:05.869960,A001,Pump,Building-1,Main,8.49,22.46,38.22,0.356,7.13,9.12,0
2025-09-09 02:41:05.869960,A001,Pump,Building-1,Main,8.49,22.04,36.38,0.34,6.47,9.12,0
